Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,RECORD_KEY,Load Date,year_month,date_key
2011,2,New York,Person-to-person,Norovirus,,Suspected,,76,,,,,,,,,,,0000bee5de70c4bd,2024-12-20,2011-02,20110201
2012,3,Colorado,Person-to-person,Norovirus unknown,,Suspected,,260,0,260,0,260,,,,,,,000106b5b551cc6b,2024-12-20,2012-03,20120301
2012,3,West Virginia,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,00017ef3d56b7909,2024-12-20,2012-03,20120301
2000,8,Ohio,Food,Norovirus Genogroup I,unknown,Confirmed,Other,100,,,0,100,water;lettuce-based salads unspecified;ice,,Multiple,,,,0001975becb5c69b,2024-12-20,2000-08,20000801
2010,3,New York,Person-to-person,Norovirus,,Suspected,,21,,,,,,,,,,,0002d388d6c673fd,2024-12-20,2010-03,20100301
2011,1,New Hampshire,Person-to-person,,,,Other healthcare facility,11,1,11,0,11,,,,,,,0002daa7080885ae,2024-12-20,2011-01,20110101
2015,11,Virginia,Person-to-person,Norovirus,,Suspected,School/college/university,48,0,,0,,,,,,,,0002e86e6d1fde66,2024-12-20,2015-11,20151101
2018,12,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,14,,0,,0,,,,,,,0003fd8bc6748dcd,2024-12-20,2018-12,20181201
2006,1,Tennessee,Food,,,,Restaurant: Other,11,0,11,0,11,,,,,,,00041184d49f8d2f,2024-12-20,2006-01,20060101
2011,7,Minnesota,Indeterminate/unknown,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,,3,1,3,0,3,,,,,,,000425743bf02a7b,2024-12-20,2011-07,20110701
1998,2,Ohio,Food,,,,Restaurant: Other,2,0,2,0,2,,,,,,,00045f48b997930b,2024-12-20,1998-02,19980201
1999,10,New York,Food,Listeria monocytogenes,,Confirmed,Private home/residence,4,,,,,"hot dog, unspecified",beef,Beef,,,,0004f37a19b9eacf,2024-12-20,1999-10,19991001
2016,12,Maine,Food,Norovirus,,Suspected,School/college/university,71,0,0,0,0,,,,,,,00055afbf573387e,2024-12-20,2016-12,20161201
2000,12,Oregon,Food,Norovirus Genogroup I,,Confirmed,Correctional/detention facility,65,1,65,0,65,coleslaw,leafy green,Vegetable Row Crops,,,,000562979ba0c08e,2024-12-20,2000-12,20001201
2010,5,Kentucky,Person-to-person,Norovirus unknown,,Confirmed,,51,0,0,0,0,,,,,,,0005c60e5fe268fb,2024-12-20,2010-05,20100501
2009,3,Oregon,Indeterminate/unknown,Norovirus Genogroup II,unknown,Confirmed,Restaurant,18,0,18,0,18,,,,,,,00070c209f4bbe44,2024-12-20,2009-03,20090301
2022,3,Colorado,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,7,1,7,0,7,,,,,,,00072d4607390931,2024-12-20,2022-03,20220301
1999,3,Washington,Food,,,,,3,,,,,"beef, unspecified",,Beef,,,,0007d12c48efec29,2024-12-20,1999-03,19990301
2015,1,Puerto Rico,Indeterminate/unknown,Staphylococcus aureus,,Confirmed,School/college/university,59,0,59,0,59,,,,,,,00081c238832534a,2024-12-20,2015-01,20150101
2000,4,Mississippi,Food,Salmonella enterica,Heidelberg,Confirmed,,6,3,6,0,6,"stuffing, unspecified;chicken, unspecified",,Multiple,,,,000980c9b9e09639,2024-12-20,2000-04,20000401
2023,1,Iowa,Person-to-person,Norovirus Genogroup I,GI.P13 GI.3,Confirmed,Long-term care/nursing home/assisted living facility,44,0,44,0,44,,,,,,,000999353113ed01,2024-12-20,2023-01,20230101
1973,8,Tennessee,Water,Giardia duodenalis,,Confirmed,Farm/dairy/agricultural setting,5,,,0,,,,,Drinking water,Individual/Private,,0009b9624b6ab5a4,2024-12-20,1973-08,19730801
2023,6,South Carolina,Food,Norovirus unknown,,Suspected,,4,0,4,0,4,,,,,,,0009f990bf3c31ce,2024-12-20,2023-06,20230601
2016,6,South Carolina,Food,Norovirus Genogroup II,unknown,Suspected,Restaurant: Sit-down dining,5,0,5,0,5,,,,,,,000b4ab538943120,2024-12-20,2016-06,20160601
2012,2,Illinois,Food,Salmonella enterica,Oranienburg,Confirmed,Restaurant: Sit-down dining,3,0,3,0,3,,,,,,,000c521618883925,2024-12-20,2012-02,20120201
2016,3,Virginia,Person-to-person,Norovirus,,Suspected,School/college/university,6,0,6,0,6,,,,,,,00105a465904b6a0,2024-12-20,2016-03,20160301
2019,3,Multistate,Food,Vibrio parahaemolyticus,,Confirmed,Restaurant: Other,9,1,9,0,9,raw oysters,,Mollusks,,,,00106066578c3398,2024-12-20,2019-03,20190301
2012,12,Oregon,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,17,,17,,17,,,,,,,0014cea5c76a54cd,2024-12-20,2012-12,20121201
2020,9,Washington,Food,Campylobacter unknown,,Suspected,Restaurant: Sit-down dining,4,0,4,0,4,chicken,chicken,Chicken,,,,0015f6274fb9dbde,2024-12-20,2020-09,20200901
2003,3,Minnesota,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,45,0,41,0,41,lettuce-based salads unspecified,,Multiple,,,,0016129e15a55070,2024-12-20,2003-03,20030301
2021,10,Colorado,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,39,0,39,0,39,,,,,,,001981e5dd696efc,2024-12-20,2021-10,20211001
2021,7,Ohio,Animal contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Festival/Fair,5,1,5,0,5,,,,,,,0019b4e30a35b1dc,2024-12-20,2021-07,20210701
2019,11,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Hospital,12,0,12,0,12,,,,,,,0019eb1133a15902,2024-12-20,2019-11,20191101
2018,6,Minnesota,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Buffet,32,7,32,1,32,,,,,,,001a5f09d980d324,2024-12-20,2018-06,20180601
1998,4,Maryland,Food,,,,Grocery store/bakery/deli/convenience store,15,,,,,"ham, unspecified",,Pork,,,,001bf56b38b19bf5,2024-12-20,1998-04,19980401
2000,4,Michigan,Food,,,,Restaurant: Other,2,0,,0,,"chicken, buffalo wings",,Multiple,,,,001e2bd6e9232784,2024-12-20,2000-04,20000401
2014,3,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,43,1,1,0,43,,,,,,,0020e9b79463a974,2024-12-20,2014-03,20140301
2017,3,New York,Person-to-person,Norovirus,,Suspected,,5,,,,,,,,,,,002135ddf2a064fc,2024-12-20,2017-03,20170301
2014,4,Colorado,Person-to-person,Norovirus,,Suspected,,343,0,0,0,0,,,,,,,0022c9e26917fb2d,2024-12-20,2014-04,20140401
2019,2,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,5,1,5,0,5,,,,,,,0022d31730b534c3,2024-12-20,2019-02,20190201
1979,4,New Hampshire,Water,,,,Unknown,17,,,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,,0023790c7bb275e1,2024-12-20,1979-04,19790401
