establishment_id,establishment_number,EstNumber_0,EstNumber_1,EstNumber_2,EstNumber_3,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code,Establishment Number,Modified Line Speed Flag,load_date,modified_line_speed_flag,est_status,LatestMPIActiveDate,standardized_name,company_name,grant_date_key,inspection_system_npis,inspection_system_npis_waiver,inspection_system_nsis,slaughter,processing,meat_slaughter,poultry_slaughter,young_chicken_slaughter,young_turkey_slaughter,meat_processing,poultry_processing,egg_processing,processing_volume_category,slaughter_volume_category,listeria_alternative,young_chicken_carcasses_category,young_turkey_carcasses_category,comminuted_chicken_category,comminuted_turkey_category,chicken_parts_category,category_start_date,category_end_date
126740,G1016,G1016,,,,M.G. Waldbaum Company,018076351,430 Railroad Avenue ,Gaylord,MN,55334,(507) 237-4600,2026-01-28,Egg Product,Michael Foods Inc.,25,2507,N / A,44.554441014563,-94.206989982262,Sibley County,27143,,N,2026-08-24,N,Active,,M.G. Waldbaum Company,Michael Foods Inc.,20260128,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
195,G1028,G1028,,,,Papetti's Hygrade Egg Products Inc.,007266158,One Papetti Plaza ,Elizabeth,NJ,07206,(908) 282-7900,2019-12-05,Egg Product,,80,8020,Small,40.657986002349,-74.188851972199,Union County,34039,,N,2026-08-24,N,Active,,Papetti's Hygrade Egg Products Inc.,Papetti's Hygrade Egg Products Inc.,20191205,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126734,G1105,G1105,,,,"American Egg Products, LLC",,375 Pierce Industrial Blvd. ,Blackshear,GA,31516,(912) 449-5700,2021-09-22,Egg Product,,85,8509,Small,31.304083010789,-82.232686002847,Pierce County,13229,,N,2026-08-24,N,Active,,"American Egg Products, LLC","American Egg Products, LLC",20210922,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126639,G1126A+V1126A,G1126A,V1126A,,,Shepherds Processed Eggs,072983554,3502 West 6400 South ,Spanish Fork,UT,84660,(801) 798-2593,2022-01-28,Certification - Export; Egg Product,,15,1532,Small,40.115097006836,-111.737393965822,Utah County,49049,,N,2026-08-24,N,Active,,Shepherds Processed Eggs,Shepherds Processed Eggs,20220128,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
6164012,G1126B,G1126B,,,,Shepherds Processed Eggs / Muscle Eggs,015396242,3465 West 6400 South ,Spanish Fork,UT,84660,(801) 798-2593,2022-01-28,Egg Product,Muscle Egg,15,1532,Very Small,40.114138997213,-111.737267985818,Utah County,49049,,N,2026-08-24,N,Active,,Shepherds Processed Eggs / Muscle Eggs,Muscle Egg,20220128,,,,,Yes,,,,,,,Yes,4,,,,,,,,,
8204,G1141+V1141,G1141,V1141,,,"Wabash Valley Produce, Inc.",016259947,501 S. Chestnut ,Farina,IL,62838,(618) 245-3301,2022-03-04,Certification - Export; Egg Product,,50,5007,Small,38.829008600385,-88.777614022014,Fayette County,17051,,N,2026-08-24,N,Active,,"Wabash Valley Produce, Inc.","Wabash Valley Produce, Inc.",20220304,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
8193,G1183+V1183,G1183,V1183,,,"Deb El Food Products, LLC",,2 Papetti Plaza ,Elizabeth,NJ,07206,(908) 351-0330,2021-08-03,Certification - Export; Egg Product,,80,8020,Small,40.659063998917,-74.189942960716,Union County,34039,,N,2026-08-24,N,Active,,"Deb El Food Products, LLC","Deb El Food Products, LLC",20210803,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126662,G1215A+V1215,G1215A,V1215,,,"Cargill Kitchen Solutions, Inc.",,206 West Fourth Street ,Monticello,MN,55362,(763) 271-5600,1987-05-01,Food Inspection,,25,2504,Small,45.30400901,-93.79847203,Wright County,27171,,N,2026-08-24,N,Inactive,2026-03-06,"Cargill Kitchen Solutions, Inc.","Cargill Kitchen Solutions, Inc.",19870501,,,,,,,,,,,,,,,,,,,,,,
126663,G1219,G1219,,,,Rose Acre Farms,,2143 215th Road ,Guthrie Center,IA,50115,,2019-11-09,Egg Product,Guthrie Center Breaker Plant; Guthrie Center Dryer Plant; Guthrie Center Egg Farm,25,2518,Small,41.695456723138,-94.52027747751,Guthrie County,19077,,N,2026-08-24,N,Active,,Rose Acre Farms,Guthrie Center Breaker Plant,20191109,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126714,G1223,G1223,,,,Siouxpreme Egg Products,052459609,321 2nd Ave. SW ,Sioux Center,IA,51250,(712) 722-4787,2021-09-14,Egg Product,Sonstegard Foods Company,25,2523,Small,43.074770990328,-96.178805966013,Sioux County,19167,,N,2026-08-24,N,Active,,Siouxpreme Egg Products,Sonstegard Foods Company,20210914,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
