sample_source_key,sample_source_name
0001,Animal-Chicken-Broiler / Young Chicken Carcass Rinse
0002,Animal-Chicken-Young Chicken
0003,Animal-Turkey-Turkey Carcass Sponge
0004,Animal-Turkey-Young Turkey
0005,Other-Product Contact Surface Sponge
0006,Product-/NRTE-Otherwise processed poultry
0007,"Product-RTE-Fully Cooked, Meat/Nonmeat Combination-Chicken"
0008,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken"
0009,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Turkey"
0010,Product-Raw-Intact-Chicken
0011,Product-Swab-Turkey
