form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
101794864,210331556,3,P40,HC_CH_CARC01,2017-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171001,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101794864-210331556,0001
101797677,590430641,3833,P165H,HC_CH_CARC01,2017-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171001,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101797677-590430641,0001
101791188,210331571,13729,P40183,F_CH_CARC01,2017-10-02,,00,,Positive,,,,,,,,Negative,,,,,,,,,20171002,2018,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101791188-210331571,0001
101791864,590430646,577,P419,HC_CPT_LBW01,2017-10-02,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101791864-590430646,0010
101792020,853294301,564,P687,HC_CPT_LBW01,2017-10-02,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101792020-853294301,0010
101792127,210331548,5343,P8107+V8107,HC_CH_CARC01,2017-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101792127-210331548,0001
101792189,853294245,4530,P18557,HC_CPT_LBW01,2017-10-02,b. Leg,00,,Negative,,,,,,,,Positive,,,,,,,,,20171002,2018,Negative,Y,0,Positive,Y,1,1 mL,,,,,,,,,,,,,,,,,101792189-853294245,0010
101792329,853294247,4507,P758,HC_CH_CARC01,2017-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101792329-853294247,0001
101792665,210331561,3543,P727+V727,HC_CPT_LBW01,2017-10-02,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101792665-210331561,0008
101792757,590430629,127096,M45511+P45511,HC_CPT_LBW01,2017-10-02,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101792757-590430629,0010
101792868,590430620,6972,P529+V529,HC_CH_CARC01,2017-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101792868-590430620,0001
101793086,590430846,123475,M44121+P44121,HC_CH_CARC01,2017-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101793086-590430846,0001
101793137,853294396,275,P19378,HC_CPT_LBW01,2017-10-02,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101793137-853294396,0010
101793182,210331564,4516,P7342+V7342,HC_CH_CARC01,2017-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101793182-210331564,0001
101793189,210331933,60,P2632,HC_CH_CARC01,2017-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20171002,2018,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,101793189-210331933,0001
