form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,sample_key,sample_source_key
103059572,300244973,7855,P21234,EX_CHCAR_RH1,2022-10-02,,00,,Positive,,,,,,41,,,,,,1400,110,,,,20221002,2023,Positive,Y,1,,N,0,,103059572-300244973,0001
103059573,300244976,7855,P21234,HC_CH_CARC01,2022-10-02,,00,,Negative,,,,,,,,,,Negative,,10,<10,,,,20221002,2023,Negative,Y,0,Negative,Y,0,30 mL,103059573-300244976,0001
103024787,300245644,5970,M1542+P1542,F_CH_COM01,2022-10-03,,00,,Positive,,,,,,,,,,,,,,,,,20221003,2023,Positive,Y,1,,N,0,,103024787-300245644,0008
103049994,300244938,4119,M10+P7212+V10,F_CPT_LBW01,2022-10-03,Breast,00,,Negative,,,,,,,,,,,,,,,,,20221003,2023,Negative,Y,0,,N,0,,103049994-300244938,0010
103052367,300245614,4530,P18557,EX_CHCAR_RH1,2022-10-03,,00,,Positive,,,,,,<10,,,,,,17850,280,,,,20221003,2023,Positive,Y,1,,N,0,,103052367-300245614,0001
103052369,300245607,4530,P18557,HC_CH_CARC01,2022-10-03,,00,,Negative,,,,,,,,,,Negative,,<10,<10,,,,20221003,2023,Negative,Y,0,Negative,Y,0,30 mL,103052369-300245607,0001
103052407,300244833,13257,P33900+V33900,EX_CHCAR_RH1,2022-10-03,,00,,Positive,,,,,,<10,,,,,,12950,740,,,,20221003,2023,Positive,Y,1,,N,0,,103052407-300244833,0001
103052408,300244834,13257,P33900+V33900,HC_CH_CARC01,2022-10-03,,00,,Negative,,,,,,,,,,Negative,,33,<10,,,,20221003,2023,Negative,Y,0,Negative,Y,0,30 mL,103052408-300244834,0001
103052410,300246270,4567,P1307,HC_CPT_LBW01,2022-10-03,Leg,00,,Positive,,,,,,,,,,Negative,,,,,,,20221003,2023,Positive,Y,1,Negative,Y,0,30 mL,103052410-300246270,0010
103052412,300245896,127254,M45565+P45565,HC_CPT_LBW01,2022-10-03,Breast,00,,Negative,,,,,,,,,,Negative,,,,,,,20221003,2023,Negative,Y,0,Negative,Y,0,30 mL,103052412-300245896,0010
