Establishment Number,Establishment Name,City,State,City State,District Number,Product Class,Salmonella Category,Posted Date Key,Posted Date
M1015+P1015+V1015,Empire Kosher Poultry,Mifflintown,PA,"Mifflintown, PA",60,Young Chicken Carcasses,1,2024121,2024-12-01
M112+P112,Tyson Foods,Green Forest,AR,"Green Forest, AR",35,Young Chicken Carcasses,1,2024121,2024-12-01
M1234+P1234,Mountaire Farms,Siler City,NC,"Siler City, NC",80,Young Chicken Carcasses,1,2024121,2024-12-01
M13456+P13456+V13456,Tyson Foods,Pine Bluff,AR,"Pine Bluff, AR",35,Young Chicken Carcasses,1,2024121,2024-12-01
M13556+P13556,Tyson Foods,Sedalia,MO,"Sedalia, MO",35,Young Chicken Carcasses,2,2024121,2024-12-01
M1655+P1655+V1655,Rashbe Holdings,Birdsboro,PA,"Birdsboro, PA",60,Young Chicken Carcasses,1,2024121,2024-12-01
M17250+P6+V6,Tyson Foods,Blountsville,AL,"Blountsville, AL",90,Young Chicken Carcasses,1,2024121,2024-12-01
M17980+P17980,Pilgrim's Pride Corporation,Sumter,SC,"Sumter, SC",85,Young Chicken Carcasses,2,2024121,2024-12-01
M19636+P19636,Tyson Foods,Union City,TN,"Union City, TN",90,Young Chicken Carcasses,1,2024121,2024-12-01
M20322+P20322,Keystone Foods,Baker Hill,AL,"Baker Hill, AL",90,Young Chicken Carcasses,1,2024121,2024-12-01
M20446+P20446+V20446,Central Illinois Poultry Processing,Arthur,IL,"Arthur, IL",50,Young Chicken Carcasses,1,2024121,2024-12-01
M20826+P20826+V20826,Griggstown Quail Farm,Princeton,NJ,"Princeton, NJ",80,Young Chicken Carcasses,1,2024121,2024-12-01
M2161+P3,Mountaire Farms of Delaware,Millsboro,DE,"Millsboro, DE",80,Young Chicken Carcasses,1,2024121,2024-12-01
M27297+P27297,Campo Lindo Farms,Lathrop,MO,"Lathrop, MO",35,Young Chicken Carcasses,3,2024121,2024-12-01
M27389+P27389+V27389,Pitman Farms,Sanger,CA,"Sanger, CA",05,Young Chicken Carcasses,3,2024121,2024-12-01
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant,Monroe,NY,"Monroe, NY",60,Young Chicken Carcasses,1,2024121,2024-12-01
M322A+P322,Pilgrim's Pride Corporation,Cold Spring,MN,"Cold Spring, MN",25,Young Chicken Carcasses,1,2024121,2024-12-01
M34145+P34145,Kadejan,Glenwood,MN,"Glenwood, MN",25,Young Chicken Carcasses,1,2024121,2024-12-01
M4005+P4005+V4005,Williamsburg Packing Company,Kingstree,SC,"Kingstree, SC",85,Young Chicken Carcasses,1,2024121,2024-12-01
M4181+P4181,Mao Foods,Los Angeles,CA,"Los Angeles, CA",05,Young Chicken Carcasses,1,2024121,2024-12-01
M44121+P44121,Pelleh Poultry Corp,Swan Lake,NY,"Swan Lake, NY",60,Young Chicken Carcasses,3,2024121,2024-12-01
M45479+P45479,Rettland Farm,Gettysburg,PA,"Gettysburg, PA",60,Young Chicken Carcasses,1,2024121,2024-12-01
M45525+P45525+V45525,Pine Creek Processing,Ridgeland,WI,"Ridgeland, WI",25,Young Chicken Carcasses,3,2024121,2024-12-01
M46324A+P46324A+V46324A,Morning Star Poultry,Fort Plain,NY,"Fort Plain, NY",60,Young Chicken Carcasses,2,2024121,2024-12-01
M46498+P46498,Westminster Meat Packing,Westminster,VT,"Westminster, VT",60,Young Chicken Carcasses,2,2024121,2024-12-01
M4653A+P4653A+V4653A,Agri Star Meat and Poultry,Postville,IA,"Postville, IA",25,Young Chicken Carcasses,1,2024121,2024-12-01
M46910+P46910+V46910,B & R Meat Processing,Winslow,AR,"Winslow, AR",35,Young Chicken Carcasses,3,2024121,2024-12-01
M47579+P47579,Tyson Foods,Humboldt,TN,"Humboldt, TN",90,Young Chicken Carcasses,1,2024121,2024-12-01
M48281+P48281+V48281,White Lake Foods,Ferndale,NY,"Ferndale, NY",60,Young Chicken Carcasses,3,2024121,2024-12-01
M51255+P51255,Natural State Processing,Clinton,AR,"Clinton, AR",35,Young Chicken Carcasses,1,2024121,2024-12-01
M51302+P51302,Belmont Meats,Paradise,PA,"Paradise, PA",60,Young Chicken Carcasses,1,2024121,2024-12-01
M51351+P51351,Underground Slaughter,Walling,TN,"Walling, TN",90,Young Chicken Carcasses,3,2024121,2024-12-01
M56+P56,Pilgrim's Pride Corporation,Timberville,VA,"Timberville, VA",80,Young Chicken Carcasses,1,2024121,2024-12-01
M5842+P5842+V5842,Tyson Foods,Springdale,AR,"Springdale, AR",35,Young Chicken Carcasses,3,2024121,2024-12-01
M6137+P6137,Foster Poultry Farms,Livingston,CA,"Livingston, CA",05,Young Chicken Carcasses,1,2024121,2024-12-01
M667+P667,Mountaire Farms,Selbyville,DE,"Selbyville, DE",80,Young Chicken Carcasses,1,2024121,2024-12-01
M7100+P7100+V7100,Tyson Foods,Nashville,AR,"Nashville, AR",35,Young Chicken Carcasses,2,2024121,2024-12-01
M737+P737,House of Raeford - Wallace Div,Teachey,NC,"Teachey, NC",80,Young Chicken Carcasses,2,2024121,2024-12-01
M7428+P7428+V7428,Joyce Foods,Winston Salem,NC,"Winston Salem, NC",80,Young Chicken Carcasses,1,2024121,2024-12-01
M744+P744,Vineland Poultry,Vineland,NJ,"Vineland, NJ",80,Young Chicken Carcasses,1,2024121,2024-12-01
M7470+P7470,Mountaire Farms  - NC Division,Lumber Bridge,NC,"Lumber Bridge, NC",80,Young Chicken Carcasses,1,2024121,2024-12-01
M7478+P1,Tyson Foods,Wilkesboro,NC,"Wilkesboro, NC",80,Young Chicken Carcasses,1,2024121,2024-12-01
M7559+P134+V7559,David Elliot Poultry Farm,Scranton,PA,"Scranton, PA",60,Young Chicken Carcasses,3,2024121,2024-12-01
M810+P810,Pilgrim's Pride Corporation,Moorefield,WV,"Moorefield, WV",80,Young Chicken Carcasses,1,2024121,2024-12-01
M9977+P1325,Tyson Foods,New Holland,PA,"New Holland, PA",60,Young Chicken Carcasses,2,2024121,2024-12-01
P1009,Wayne Farms,Danville,AR,"Danville, AR",35,Young Chicken Carcasses,1,2024121,2024-12-01
P1137,Tyson Foods,Seguin,TX,"Seguin, TX",40,Young Chicken Carcasses,1,2024121,2024-12-01
P1235,Wayne Farms,Decatur,AL,"Decatur, AL",90,Young Chicken Carcasses,1,2024121,2024-12-01
P1241,Tyson Foods,Corydon,IN,"Corydon, IN",50,Young Chicken Carcasses,1,2024121,2024-12-01
P1243,Perdue Foods,Rockingham,NC,"Rockingham, NC",80,Young Chicken Carcasses,1,2024121,2024-12-01
P1249,George's Chicken,Edinburg,VA,"Edinburg, VA",80,Young Chicken Carcasses,1,2024121,2024-12-01
P1250,Fieldale Farms Corporation,Cornelia,GA,"Cornelia, GA",85,Young Chicken Carcasses,1,2024121,2024-12-01
P1254+V1254,Koch Foods of Ashland,Ashland,AL,"Ashland, AL",90,Young Chicken Carcasses,1,2024121,2024-12-01
P1257,Fieldale Farms Corporation,Murrayville,GA,"Murrayville, GA",85,Young Chicken Carcasses,1,2024121,2024-12-01
P1272,Pilgrim's Pride Corporation,Douglas,GA,"Douglas, GA",85,Young Chicken Carcasses,1,2024121,2024-12-01
P1284,Pilgrim's Pride Corporation,Canton,GA,"Canton, GA",85,Young Chicken Carcasses,2,2024121,2024-12-01
P1294+V1294,Holmes Foods,Nixon,TX,"Nixon, TX",40,Young Chicken Carcasses,1,2024121,2024-12-01
P1307,Mar-Jac Poultry-AL,Jasper,AL,"Jasper, AL",90,Young Chicken Carcasses,3,2024121,2024-12-01
P1309,House of Raeford Farms,Greenville,SC,"Greenville, SC",85,Young Chicken Carcasses,1,2024121,2024-12-01
P1315,Tyson Foods,Monett,MO,"Monett, MO",35,Young Chicken Carcasses,1,2024121,2024-12-01
P1317+V1317,Wayne Farms,Albertville,AL,"Albertville, AL",90,Young Chicken Carcasses,2,2024121,2024-12-01
P1318,Perdue Foods,Milford,DE,"Milford, DE",80,Young Chicken Carcasses,1,2024121,2024-12-01
P13369+V13369,George's Processing,Cassville,MO,"Cassville, MO",35,Young Chicken Carcasses,1,2024121,2024-12-01
P1353,Pilgrim's Pride Corporation,Chattanooga,TN,"Chattanooga, TN",90,Young Chicken Carcasses,2,2024121,2024-12-01
P15724+V15724,Case Farms Processing,Winesburg,OH,"Winesburg, OH",50,Young Chicken Carcasses,1,2024121,2024-12-01
P1605,Tide Mill Organic Farm,Edmunds Twp,ME,"Edmunds Twp, ME",60,Young Chicken Carcasses,3,2024121,2024-12-01
P164,Tyson Foods,Forest,MS,"Forest, MS",90,Young Chicken Carcasses,1,2024121,2024-12-01
P165H,Bachoco OK Foods,Heavener,OK,"Heavener, OK",40,Young Chicken Carcasses,1,2024121,2024-12-01
P165S+V165S,Bachoco OK Foods,Fort Smith,AR,"Fort Smith, AR",35,Young Chicken Carcasses,2,2024121,2024-12-01
P170,Wayne Farms,Pendergrass,GA,"Pendergrass, GA",85,Young Chicken Carcasses,1,2024121,2024-12-01
P17340,Pilgrim's Pride Corporation,Hickory,KY,"Hickory, KY",90,Young Chicken Carcasses,1,2024121,2024-12-01
P17500,Pilgrim's Pride Corporation,Russellville,AL,"Russellville, AL",90,Young Chicken Carcasses,2,2024121,2024-12-01
P177,Pilgrim's Pride Corporation,Gainesville,GA,"Gainesville, GA",85,Young Chicken Carcasses,1,2024121,2024-12-01
P18285,Perdue Foods,Dillon,SC,"Dillon, SC",85,Young Chicken Carcasses,2,2024121,2024-12-01
